dimension,group,n,current_listings,historical_identities,median_excess_cagr,median_excess_martin,beat_spy_cagr,rate_beat_spy_cagr,beat_spy_sortino,rate_beat_spy_sortino,beat_spy_calmar,rate_beat_spy_calmar,beat_spy_martin,rate_beat_spy_martin,beat_spy_rwm_score,rate_beat_spy_rwm_score,beat_spy_cagr_and_rwm,rate_beat_spy_cagr_and_rwm,beat_spy_cagr_and_martin,rate_beat_spy_cagr_and_martin,beat_spy_all_four,rate_beat_spy_all_four
theme,natural_resources,36,36,0,-0.07968290211701667,-1.662800684684591,5,0.1388888888888889,1,0.027777777777777776,2,0.05555555555555555,1,0.027777777777777776,1,0.027777777777777776,1,0.027777777777777776,1,0.027777777777777776,1,0.027777777777777776
theme,other_thematic,35,31,4,-0.06314780032313627,-1.5030680445550346,4,0.11428571428571428,0,0.0,3,0.08571428571428572,0,0.0,2,0.05714285714285714,2,0.05714285714285714,0,0.0,0,0.0
theme,infrastructure,28,27,1,-0.054482485630996,-1.2154380755317848,1,0.03571428571428571,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
theme,clean_energy_climate,27,25,2,-0.05583276178020635,-1.0891148354683367,4,0.14814814814814814,1,0.037037037037037035,2,0.07407407407407407,1,0.037037037037037035,1,0.037037037037037035,1,0.037037037037037035,1,0.037037037037037035,1,0.037037037037037035
theme,digital_disruption,27,27,0,-0.059507018439054926,-1.6192497780149808,8,0.2962962962962963,0,0.0,2,0.07407407407407407,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
theme,artificial_intelligence,16,15,1,-0.008956445826107107,-1.3229971966763487,7,0.4375,1,0.0625,1,0.0625,0,0.0,1,0.0625,1,0.0625,0,0.0,0,0.0
theme,defense_security,7,6,1,0.02033490131946114,-0.2519264041228495,5,0.7142857142857143,1,0.14285714285714285,4,0.5714285714285714,1,0.14285714285714285,2,0.2857142857142857,2,0.2857142857142857,1,0.14285714285714285,1,0.14285714285714285
theme,mobility,6,5,1,-0.10196916593169925,-1.73701462359166,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
theme,demographics,3,2,1,-0.05209834782196743,-0.9498057663078725,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
geography,not_determined,1205,1171,34,-0.06744603053719067,-0.9462080275136999,136,0.11286307053941909,148,0.12282157676348547,182,0.15103734439834024,162,0.13443983402489626,103,0.08547717842323652,58,0.048132780082987554,52,0.043153526970954356,41,0.03402489626556016
geography,united_states,325,316,9,-0.02781481438292821,-0.40497716643616544,62,0.19076923076923077,46,0.14153846153846153,51,0.15692307692307692,49,0.15076923076923077,54,0.16615384615384615,31,0.09538461538461539,25,0.07692307692307693,16,0.04923076923076923
geography,global,159,144,15,-0.06323858620041145,-1.240354078099144,9,0.05660377358490566,3,0.018867924528301886,3,0.018867924528301886,2,0.012578616352201259,2,0.012578616352201259,2,0.012578616352201259,2,0.012578616352201259,1,0.006289308176100629
geography,international_ex_us,141,138,3,-0.059237127197567796,-1.0678534416171852,2,0.014184397163120567,2,0.014184397163120567,1,0.0070921985815602835,2,0.014184397163120567,2,0.014184397163120567,2,0.014184397163120567,2,0.014184397163120567,1,0.0070921985815602835
geography,emerging_markets,73,71,2,-0.07693048816886439,-1.5933776889220612,1,0.0136986301369863,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
